feature,signo_esperado,cita,mecanismo,cohens_d,corr_pearson,p_value,estimate_logit,p_logit,estimate_en,imp_rf,rank_d,rank_logit,rank_en,rank_rf,rank_avg
ratio_dependencia,+,IDB Costa Rica 2018,Más dependientes por ocupado → menor ingreso per cápita,0.7639751983862709,0.29234751902751993,0,1.2221385672179936,0,1.1706865998958573,0.057871148649537685,2,4,4,1,2.75
prop_cotiza_pension,-,WB 2019,Formalidad — ingreso protegido,-0.7490522070047978,-0.28711202700087785,0,-2.905363447038404,6.464250400875953e-183,-1.8496915689437983,0.015850035550415562,3,1,1,6,2.75
educ_x_ocup,-,Nkurunziza 2024; Marrugo-Arnedo 2015,Capital humano solo paga si está empleado,-0.7024007490127413,-0.2705797654085976,0,-1.4861075470653315,0,-1.3870056897837282,0.02107458474071938,6,3,2,3,3.5
hacinamiento,+,Banerjee 2018; UN-Habitat 2020,Densidad habitacional alta es proxy de calidad de vida baja,0.9014248025191147,0.3393049850058387,0,0.4862409730934807,0,0.49213826078858863,0.029990865921654338,1,9,8,2,5
doble_proteccion,-,UNDP-ECLAC 2024,Cobertura laboral completa → ingreso estable,-0.6557842060345396,-0.2538172611482915,0,1.7561355161065542,8.859450620070835e-188,1.2395746528556377,0.008540205431213954,7,2,3,16,7
tasa_ocupacion,-,DANE GEIH,Más ocupados en el hogar → más ingreso,-0.5916794814175482,-0.23039005559803716,0,1.136603921699824,5.613977383072734e-241,0.9926950260797476,0.013536606175458134,9,5,5,9,7
calidad_empleo,-,WB 2019; UNDP-ECLAC 2024,Horas × formalidad como proxy de ingreso laboral,-0.7040866831879845,-0.27118151548568675,0,0.5410535928647545,1.9038372268268733e-31,0.26212434110558497,0.020883674549831567,5,7,13,4,7.25
formal_x_salud,-,WB 2019; UNDP-ECLAC 2024,Formalidad plena = ingreso estable y protegido,-0.7454828726053293,-0.28585593992688885,0,-0.21576630391019222,0.005599131405657491,-0.5013755816457534,0.015560663039441995,4,14,7,7,8
nper,+,UN Statistics 2005,Más bocas que alimentar,0.6123807704334369,0.23800148627357035,0,0.47570347379184874,2.9539007373958065e-41,0.36670431626126504,0.010865158483979093,8,10,10,10,9.5
horas_trabajo_prom,-,DANE GEIH,Horas trabajadas → ingreso laboral,-0.3089879384558746,-0.12270650320937092,0,-0.524961064065845,0,-0.4740387505673158,0.015348113934648256,17,8,9,8,10.5
edad_prom_sq,+,Obando-Andrián 2015; Banerjee 2018,U-invertida: muy jóvenes y muy viejos más vulnerables,-0.40601921703042515,-0.16036502057325727,0,-0.25302357350075133,4.3075899421204455e-39,-0.2689460265600397,0.019528087660883896,13,13,12,5,10.75
tasa_inactivos,+,DANE GEIH 2018,Fracción de PET sin trabajo → menor ingreso,0.4121701755647606,0.16273059172976756,0,-0.16894190803304232,3.438806356735458e-39,-0.16679796433494018,0.01036559043443803,12,16,15,11,13.5
nper_sq,+,UN Statistics 2005; SOAS 2005,Hogares grandes — efecto no lineal sobre pobreza,0.5891032065564861,0.22943981567509192,0,-0.17098348461082774,2.3771963590630686e-9,-0.10943026307798547,0.008691154742451388,10,15,17,13,13.75
sin_ocupados,+,WB 2019,Hogar sin ocupados = vulnerabilidad extrema,0.22839295876268026,0.09101166132385441,4.261236671590545e-234,-0.7275915500467534,0,-0.7060618070711526,9.528437831479295e-4,18,6,6,25,13.75
jefe_mayor_inactivo,+,Banerjee 2018,Jefe >60 sin empleo → dependencia de transferencias,-0.10339776209875715,-0.04133902360674671,2.8525026429652133e-71,-0.32688661933885305,1.0239278919466406e-141,-0.3193343738911253,0.007114780135554996,24,11,11,17,15.75
edad_jefe,?,Banerjee 2018,Relación U con pobreza,-0.21738350586275454,-0.08665830923782332,2.1761386603549568e-272,-0.10215828297000885,5.533141679710837e-13,-0.09790093760104786,0.010127145904502395,19,19,18,12,17
educ_jefe_x_ocup,-,Nkurunziza 2024,Capital humano del jefe activado por empleo,-0.4012326306041067,-0.1585222515937866,0,0.07964564087230139,3.8342762409282586e-10,0.06267458451861385,0.008572065356019107,14,20,20,15,17.25
jefe_vulnerable,+,Corral 2024; Nkurunziza 2024,Jefe sin empleo y baja educación → pobreza crónica,0.21182072453824802,0.08445677198109668,6.282641253301411e-204,0.268666907757925,9.265765467101426e-178,0.25681998407124296,0.002085176355311982,20,12,14,23,17.25
mujeres_x_inact,+,Corral 2024; UNDP-ECLAC 2024,Brecha de género laboral × falta de ingreso,0.41849523610980627,0.1651601966938254,0,-0.054973321276318064,1.9225525197017088e-5,-0.054512522556711636,0.006709216131942423,11,22,22,18,18.25
ratio_mayores_65,+,WB 2019,Carga de vejez sobre PET,-0.11705817763738931,-0.04678927653825796,1.6626982952248585e-94,0.13253218733212788,2.372508361406562e-20,0.13310840676343078,0.003999234345622491,23,17,16,19,18.75
presion_habitacional,+,UN-Habitat 2020,Cuartos usados / disponibles — densidad efectiva,0.3992585514912967,0.1577617747829324,0,0.011755031674103382,0.22719022235071326,0.007025943844530252,0.008645621912021013,15,24,24,14,19.25
jefe_mujer,+,Chant 2003,Asociado a feminización de la pobreza,0.1254492667047004,0.05013512623929601,2.5271755665212954e-90,0.06329779314977126,8.176835159416935e-5,0.06143035738196022,0.0026019485057754347,22,21,21,20,21
rural_x_ocup,+,Obando-Andrián 2015; WB 2019,"Empleo rural = baja productividad, alta informalidad",0.07915014761479443,0.03165588773052744,3.9529270881205915e-36,-0.11088305923760218,1.7266778620649692e-38,-0.09177573941338658,0.0022836637394200764,25,18,19,22,21
jefe_mujer_inact,+,Bleynat 2020; Chant 2003,Jefatura femenina pesa cuando se combina con inactividad,0.3471227454033948,0.13757957415264951,0,0.002556252679060923,0.8853752246619584,-1.9325503159184525e-4,0.002435077813055374,16,25,25,21,21.75
prop_afiliado_salud,-,UNDP-ECLAC 2024,Acceso a salud contributiva = formalidad,-0.171928263109587,-0.0686344920553512,2.208764501905491e-128,-0.02356835346473476,0.0011049972216033556,-0.015030486746112348,0.001034789227688717,21,23,23,24,22.75
